CustomerID,FullName,Age,City,JoinDate,Churn,OrderID,OrderDate,ShipMode,ProductID,ProductName,Category,Price,Cost,Quantity,Discount,Days_Since_Last_Order,Total_Orders
2126,CUSTOMER_0,35,Mansoura,02-08-2023,0,11420,02-08-2023,Same Day,135,Product_135,Home Appliances,712.82,334.36,1,,518,4
2459,  Customer_1  ,54,Cairo,08/16/2020,0,12597,08/16/2020,Express,119,Product_119,Home Appliances,148.6,76.56,2,0.05,661,6
1860,Customer_2,60,Mansoura,02/21/2020,1,10496,02/21/2020,Same Day,113,Product_113,Clothing,1039.74,640.86,1,0.05,1094,3
2294,  Customer_3  ,17,Cairo,07/17/2021,0,12220,07/17/2021,Same Day,105,Product_105,Electronics,117.63,57.56,3,,673,5
2130,Customer_4,32,Luxor,16-05-2021,0,10104,16-05-2021,Express,144,Product_144,Electronics,413.23,274.34,5,,349,4
2095,  Customer_5  ,73,Giza,04/02/2021,0,13623,04/02/2021,Express,114,Product_114,Sports,562.92,253.15,2,,598,3
2044,customer_6,35,Mansoura,10/12/2020,1,10478,10/12/2020,Same Day,138,Product_138,Clothing,1122.25,537.95,1,,1542,1
1121,Customer_7,-3,Cairo,07/28/2020,0,11422,07/28/2020,Express,122,Product_122,Clothing,766.64,339.98,4,,448,5
1466,  Customer_8  ,38,Aswan,17-10-2023,0,12481,17-10-2023,Express,109,Product_109,Home Appliances,91.54,39.48,1,0.1,442,4
2238,Customer_9,56,Cairo,01/21/2023,0,12689,01/21/2023,Same Day,149,Product_149,Sports,944.43,462.86,2,,356,3
1330,Customer_10,40,Aswan,27-06-2020,0,10692,27-06-2020,Standard,140,Product_140,Electronics,646.58,452.45,3,,463,6
2482,customer_11,50,Mansoura,24-04-2023,0,13038,24-04-2023,Standard,126,Product_126,Clothing,1386.66,593.9,5,0.2,618,5
1087,Customer_12,54,Alexandria,14-05-2022,0,12969,14-05-2022,Express,145,Product_145,Home Appliances,774.37,359.23,4,,460,3
2396,Customer_13,34,Aswan,03/06/2020,1,10193,03/06/2020,Same Day,105,Product_105,Elec,1078.01,519.05,1,,445,3
2123,Customer_14,32,Cairo,02-03-2020,1,12890,02-03-2020,Express,129,Product_129,Home Appliances,367.36,215.18,2,0.05,1257,5
1871,Customer_15,42,Mansoura,10-07-2020,0,12848,10-07-2020,Same Day,122,Product_122,Electronics,1153.41,719.27,2,0.05,346,4
1130,CUSTOMER_16,42,Cairo,03/23/2021,0,11489,03/23/2021,Standard,149,Product_149,Home Appliances,1095.39,685.25,5,0.05,398,4
2332,customer_17,40,Alexandria,21-04-2021,0,13412,21-04-2021,Standard,103,Product_103,Electronics,1360.92,,4,0.05,789,4
1769,Customer_18,41,Giza,31-10-2022,0,10058,31-10-2022,Standard,128,Product_128,Sports,99.04,58.98,1,,654,7
1343,Customer_19,200,Alexandria,17-05-2023,0,11886,17-05-2023,Express,138,Product_138,Elec,698.88,,1,,595,2
2437,CUSTOMER_20,51,Luxor,02/24/2020,0,13609,02/24/2020,Standard,114,Product_114,Electronics,1034.78,574.61,1,0.05,432,5
1805,  Customer_21  ,48,Mansoura,02/23/2023,0,10477,02/23/2023,Standard,147,Product_147,Electronics,187.99,96.58,5,,521,4
1385,  Customer_22  ,19,Alexandria,11-02-2021,0,11126,11-02-2021,Express,114,Product_114,Home Appliances,645.38,412.55,5,,378,6
2215,Customer_23,34,Giza,06-01-2024,0,12580,06-01-2024,Same Day,143,Product_143,Clothing,1416.11,712.54,4,0.1,361,3
