CustomerID,FullName,Age,City,JoinDate,Churn,OrderID,OrderDate,ShipMode,ProductID,ProductName,Category,Price,Cost,Quantity,Discount,Days_Since_Last_Order,Total_Orders,Revenue,Profit
2126,Customer_0,35,Mansoura,2023-02-08,0,11420,2023-02-08,Same Day,135,Product_135,Home Appliances,712.82,334.36,1,0.0,518,4,712.82,378.46
2459,Customer_1,54,Cairo,2020-08-16,0,12597,2020-08-16,Express,119,Product_119,Home Appliances,148.6,76.56,2,0.05,661,6,282.34,129.22
1860,Customer_2,60,Mansoura,2020-02-21,1,10496,2020-02-21,Same Day,113,Product_113,Clothing,1039.74,640.86,1,0.05,1094,3,987.75,346.89
2294,Customer_3,17,Cairo,2021-07-17,0,12220,2021-07-17,Same Day,105,Product_105,Electronics,117.63,57.56,3,0.0,673,5,352.89,180.21
2130,Customer_4,32,Luxor,2021-05-16,0,10104,2021-05-16,Express,144,Product_144,Electronics,413.23,274.34,5,0.0,349,4,2066.15,694.45
2095,Customer_5,73,Giza,2021-04-02,0,13623,2021-04-02,Express,114,Product_114,Sports,562.92,253.15,2,0.0,598,3,1125.84,619.54
2044,Customer_6,35,Mansoura,2020-10-12,1,10478,2020-10-12,Same Day,138,Product_138,Clothing,1122.25,537.95,1,0.0,1542,1,1122.25,584.3
1121,Customer_7,41,Cairo,2020-07-28,0,11422,2020-07-28,Express,122,Product_122,Clothing,766.64,339.98,4,0.0,448,5,3066.56,1706.64
1466,Customer_8,38,Aswan,2023-10-17,0,12481,2023-10-17,Express,109,Product_109,Home Appliances,91.54,39.48,1,0.1,442,4,82.39,42.91
2238,Customer_9,56,Cairo,2023-01-21,0,12689,2023-01-21,Same Day,149,Product_149,Sports,944.43,462.86,2,0.0,356,3,1888.86,963.14
1330,Customer_10,40,Aswan,2020-06-27,0,10692,2020-06-27,Standard,140,Product_140,Electronics,646.58,452.45,3,0.0,463,6,1939.74,582.39
2482,Customer_11,50,Mansoura,2023-04-24,0,13038,2023-04-24,Standard,126,Product_126,Clothing,1386.66,593.9,5,0.2,618,5,5546.64,2577.14
